NU_INSCRICAO;NU_ANO;NO_MUNICIPIO_RESIDENCIA;CO_UF_RESIDENCIA;SG_UF_RESIDENCIA;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;NU_IDADE;TP_SEXO;CO_MUNICIPIO_NASCIMENTO;TP_ESCOLA;TP_ENSINO;TP_ESTADO_CIVIL;TP_COR_RACA;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TP_STATUS_REDACAO;NU_NOTA_REDACAO;Q001;Q002;Q005;Q006
1,50E+11;2015;São Lourenço da Mata;26;PE;;;;20;F;2611606;1;;;3;4566;5453;4697;4303;1;740;E;E;4;I
1,50E+11;2015;Niterói;33;RJ;;;;23;F;3304557;1;;0;1;472;7022;6322;609;1;740;E;G;5;Q
1,50E+11;2015;Águas de Lindóia;35;SP;;;;33;M;3527009;1;;1;1;5842;6567;6056;608;1;740;C;C;5;D
1,50E+11;2015;Recife;26;PE;;;;19;M;2704302;1;;0;3;6708;7134;6508;7987;1;720;G;G;2;M
1,50E+11;2015;Juiz de Fora;31;MG;;;;30;M;3143906;1;;;3;723;7709;6299;7812;1;720;C;F;2;H
1,50E+11;2015;Curitiba;41;PR;;;;24;F;4106902;1;;1;1;5568;6576;6477;7391;1;720;G;F;2;N
1,50E+11;2015;Vitória;32;ES;;;;21;F;3201506;1;;0;2;6037;6586;6251;7091;1;720;C;E;4;J
1,50E+11;2015;Mauá;35;SP;;;;23;F;3529401;1;;0;1;5647;6099;5734;6375;1;720;D;E;4;F
1,50E+11;2015;São José do Rio Preto;35;SP;;;;16;F;3549805;1;;0;1;5732;6027;5862;6351;1;720;E;E;2;P
1,50E+11;2015;Rondonópolis;51;MT;;;;18;M;5107602;1;;0;1;5892;6503;5879;5913;1;720;B;E;5;E
1,50E+11;2015;São Paulo;35;SP;;;;18;F;3522208;1;;0;3;5578;6859;6029;5749;1;720;A;E;5;C
1,50E+11;2015;Porto Alegre;43;RS;;;;21;F;4321600;1;;1;1;401;6124;628;5308;1;720;C;D;2;D
1,50E+11;2015;Guarabira;25;PB;;;;25;M;2314003;1;;0;3;5834;593;5681;5014;1;720;H;F;3;C
1,50E+11;2015;Belém;15;PA;;;;25;M;1501402;1;;1;3;4825;5854;4898;4502;1;720;C;E;4;B
1,50E+11;2015;São Paulo;35;SP;;;;18;F;2304400;1;;0;3;4946;5689;5516;4345;1;720;D;E;4;C
1,50E+11;2015;Ouro Preto;31;MG;;;;18;M;3145901;1;;0;1;5255;6396;5862;4319;1;720;E;E;2;H
1,50E+11;2015;São Paulo;35;SP;;;;20;F;3550308;1;;0;2;5208;5842;5434;4184;1;720;F;E;4;L
1,50E+11;2015;Salvador;29;BA;;;;20;F;2927408;1;;0;2;4587;5677;4996;4146;1;720;E;E;4;C
1,50E+11;2015;São Bernardo do Campo;35;SP;;;;19;F;3548708;1;;0;1;4811;6139;5953;4056;1;720;E;E;1;B
